,LATITUDE,LONGITUDE
392,62.05782,129.82449
393,62.06019,129.82231
394,62.06396,129.8211
395,62.04242,129.72727
396,62.03362,129.74019
397,62.06687,129.8164
398,62.06718,129.81495
399,62.06784,129.81185
400,62.06717,129.81499
401,62.06422,129.82181
402,62.064,129.82233
403,62.06009,129.82373
404,62.0572,129.82512
405,62.05752,129.82515
406,62.06141,129.82167
407,62.0609,129.82185
408,62.06443,129.8204
409,62.0645,129.82043
410,62.06604,129.80318
411,62.07462,129.79659
412,62.08221,129.79744
413,62.06665,129.79315
414,62.06753,129.81297
415,62.06595,129.81854
416,62.06596,129.81853
417,62.06509,129.8197
418,62.05844,129.82407
419,62.0682,129.8137
420,62.06619,129.8184
